show_id,rottentomatoes_audience_score,rottentomatoes_audience_#reviews,rottentomatoes_tomatometer_score,rottentomatoes_critics_#reviews
s2,52,10,100,10
s3,20,10,,0
s5,17,10,,0
s8,67,17500,30,27
s10,31,175,,0
s15,57,175,,0
s20,100,10,,0
s22,,10,,0
s26,21,75,,0
s28,,10,,0
s33,,10,,0
s34,51,175,40,5
s35,58,10,,0
s37,,10,80,5
s47,48,75,,0
s48,65,175,,0
s49,,10,,0
s50,27,75,,0
s51,37,250000,9,151
s55,86,10,,0
s61,54,10,,0
s63,35,750,77,13
s66,45,7500,65,43
s67,90,7500,97,103
s69,52,1750,69,13
s70,23,175,22,9
s71,17,10,,0
s72,57,175000,56,162
s73,67,250000,56,149
s74,64,10,60,5
s75,44,10,,0
s76,52,750,87,77
s77,17,75,,0
s79,64,1750,40,10
s80,82,17500,99,128
s83,35,750,,0
s84,74,17500,88,224
s89,33,75,,0
s90,29,750,52,21
s92,33,10,,0
s93,0,10,100,5
s94,25,10,,0
s95,50,250000,33,85
s97,43,32000,28,123
s99,44,7500,32,44
s101,93,17500,100,13
s105,40,32000,45,165
s108,85,10,88,17
s111,69,10,100,7
s114,27,10,,0
s119,43,7500,46,63
s120,33,10,,0
s121,71,1750,70,56
s122,65,250000,45,176
s126,55,750,86,29
s127,46,750,63,32
s128,60,7500,37,93
s132,55,750,70,23
s136,75,10,,0
s144,,10,,0
s145,56,10,,0
s146,67,750,,0
s147,,10,,0
s148,,10,61,18
s149,44,17500,32,129
s150,67,750,,0
s152,80,175,31,13
s155,54,175,60,5
s156,50,10,,0
s160,47,750,73,11
s161,34,75,30,10
s162,33,175,50,16
s164,53,250000,12,104
s165,41,175,,0
s168,31,10,,0
s169,,10,20,5
s173,33,75,43,7
s174,76,75,83,6
s175,71,750,67,43
s176,66,17500,91,275
s177,26,7500,16,56
s183,60,175,100,18
s184,51,75000,9,53
s185,,10,,0
s186,50,10,,0
s187,34,750,,0
s188,,10,,0
s190,60,10,,0
s191,14,750,35,17
